codigo_estacion,institucion,fuente,nombre,altura,latitud,longitud,codigo_cuenca,nombre_cuenca,codigo_sub_cuenca,nombre_sub_cuenca,inicio_observaciones,fin_observaciones,cantidad_observaciones,inicio_automatica
1300008,DGA,dga_web,Tignamar,3230,-18.5811,-69.4939,13,Rio San Jose,130,Azapa Alto,1968-01-01,2019-11-30,16954,-
1021001,DGA,dga_web,Rio Lauca En Japu (O En El Limite),3907,-18.5833,-69.0467,10,Altiplanicas,102,Rio Lauca,2019-02-27,2019-12-31,308,2019-02-27
1030003,DGA,dga_web,Chilcaya,4270,-18.7939,-69.0844,10,Altiplanicas,103,Salar De Surire,1971-11-01,2019-12-30,12519,-
1410011,DGA,dga_web,Chaca,350,-18.8169,-70.15,14,Costeras R. San Jose-Q.Camarones,141,Quebrada Vitor,1968-12-01,1983-12-31,5478,-
1410012,DGA,dga_web,Codpa,1870,-18.8322,-69.7439,14,Costeras R. San Jose-Q.Camarones,141,Quebrada Vitor,1961-06-01,2018-10-31,19786,-
1502007,DGA,dga_web,Esquia,2170,-18.9417,-69.5328,15,Q. Rio Camarones,150,Rio Camarones Antes Junta Quebrada De Chiza,1975-07-01,2019-12-30,16167,-
1502008,DGA,dga_web,Rio Camarones En Chilpe,1565,-18.9431,-69.6197,15,Q. Rio Camarones,150,Rio Camarones Antes Junta Quebrada De Chiza,2005-12-01,2019-12-31,5096,2017-06-08
1501001,DGA,dga_web,Caritaya Embalse,3600,-19.0247,-69.3361,15,Q. Rio Camarones,150,Rio Camarones Antes Junta Quebrada De Chiza,1932-01-01,1965-07-31,1336,-
1610003,DGA,dga_web,Pumire,4150,-19.0953,-69.1108,16,Costeras R.Camarones-Pampa Del Tamarugal,161,Quebrada De Camina,1962-01-01,1991-10-31,10379,-
1502006,DGA,dga_web,Cuya,200,-19.1117,-70.1269,15,Q. Rio Camarones,150,Rio Camarones Antes Junta Quebrada De Chiza,1965-11-01,1979-04-30,4502,-
1610004,DGA,dga_web,Q. Camia 3 Km. A. Arriba De Tarcavire,3848,-19.1181,-69.2447,16,Costeras R.Camarones-Pampa Del Tamarugal,161,Quebrada De Camina,2006-08-01,2019-12-31,4641,2017-09-22
1041004,DGA,dga_web,Enquelca (Ex Caraguano),3900,-19.2289,-68.8044,10,Altiplanicas,104,Entre Estero Sencata Y Rio Sacaya,1985-01-01,2019-08-31,10654,-
1041003,DGA,dga_web,Colchane (T. Isluga),3700,-19.2764,-68.6378,10,Altiplanicas,104,Entre Estero Sencata Y Rio Sacaya,1975-12-01,2019-12-31,15014,2017-06-30
1611002,DGA,dga_web,Apamilca (Camia),2600,-19.2967,-69.3867,16,Costeras R.Camarones-Pampa Del Tamarugal,161,Quebrada De Camina,1986-01-01,1990-04-30,1339,-
1611001,DGA,dga_web,Camia,2500,-19.3136,-69.4172,16,Costeras R.Camarones-Pampa Del Tamarugal,161,Quebrada De Camina,1971-01-01,2019-12-31,15313,2019-04-01
1720004,DGA,dga_web,Puchultiza,4300,-19.4136,-68.9422,17,Pampa Del Tamarugal,172,Quebrada De Aroma,1982-09-01,1988-12-31,2314,-
1720006,DGA,dga_web,Chiapa,3155,-19.5369,-69.205,17,Pampa Del Tamarugal,172,Quebrada De Aroma,2012-02-01,2017-01-31,1607,2020-03-06
1730020,DGA,dga_web,Chuzmiza,3400,-19.6831,-69.1833,17,Pampa Del Tamarugal,173,Quebrada De Tarapaca,1988-12-01,2019-12-31,10776,2020-03-06
1730015,DGA,dga_web,Pampa Lirima Dcp,5100,-19.7653,-68.8581,17,Pampa Del Tamarugal,173,Quebrada De Tarapaca,1982-10-01,1984-11-30,731,-
1730007,DGA,dga_web,Q. Tarapaca En Sibaya,2830,-19.7831,-69.1433,17,Pampa Del Tamarugal,173,Quebrada De Tarapaca,2004-02-06,2019-12-31,5443,2017-09-09
1730019,DGA,dga_web,Mocha,2150,-19.8097,-69.2731,17,Pampa Del Tamarugal,173,Quebrada De Tarapaca,1988-01-01,2019-08-31,10117,-
1730016,DGA,dga_web,Pampa Lirima,4076,-19.8472,-68.8544,17,Pampa Del Tamarugal,173,Quebrada De Tarapaca,1977-10-01,1989-05-31,4141,-
1042001,DGA,dga_web,Cancosa,3930,-19.8553,-68.6017,10,Altiplanicas,104,Entre Estero Sencata Y Rio Sacaya,1976-04-01,2012-04-30,12252,-
1044001,DGA,dga_web,Rio Cancosa En El Tambo,4000,-19.8586,-68.5858,10,Altiplanicas,104,Entre Estero Sencata Y Rio Sacaya,2012-05-01,2019-07-31,1998,-
1730017,DGA,dga_web,Poroma,2880,-19.8719,-69.1831,17,Pampa Del Tamarugal,173,Quebrada De Tarapaca,1968-04-01,2019-12-31,16047,2020-01-29
1730018,DGA,dga_web,Lagunillas (Pampa Lirima),4020,-19.9333,-68.8369,17,Pampa Del Tamarugal,173,Quebrada De Tarapaca,1982-10-01,2019-11-30,12243,-
1042002,DGA,dga_web,Huaytani,3950,-20.0003,-68.5706,10,Altiplanicas,104,Entre Estero Sencata Y Rio Sacaya,1982-09-01,2019-10-31,11966,-
1740001,DGA,dga_web,Parca,2650,-20.0122,-69.2033,17,Pampa Del Tamarugal,174,Quebrada De Quipisca,1977-12-01,2019-12-31,14617,2019-04-02
1050007,DGA,dga_web,Coyacagua,4013,-20.0531,-68.8075,10,Altiplanicas,105,Salar Del Huasco,1961-11-01,2019-08-31,20201,-
1740002,DGA,dga_web,Cerro Colorado,2510,-20.065,-69.2703,17,Pampa Del Tamarugal,174,Quebrada De Quipisca,1993-04-01,2019-11-30,9244,-
1750003,DGA,dga_web,Mamia,2730,-20.0756,-69.2147,17,Pampa Del Tamarugal,175,Quebradas Juan Morales Sagasca  Y El Tambillo,1986-01-01,2019-12-31,11840,2019-04-05
1050009,DGA,dga_web,Diablo Marca,4585,-20.1044,-68.9681,10,Altiplanicas,105,Salar Del Huasco,2011-12-01,2016-12-30,1397,-
1050004,DGA,dga_web,Rio Collacagua En Peablanca,3853,-20.1119,-68.8408,10,Altiplanicas,105,Salar Del Huasco,2014-10-01,2016-10-18,612,-
